,0
365,"('HAIRATON                                          ', )"
366,"('HAITI                                             ', )"
367,"('HAKATA                                            ', )"
368,"('HALDIA                                            ', )"
369,"('HALIFAX                                           ', )"
370,"('HAMBURG                                           ', )"
371,"('HAMILTON                                          ', )"
372,"('HAMINA                                            ', )"
373,"('HANGZHOU                                          ', )"
374,"('HANJIANG                                          ', )"
375,"('HANKOU                                            ', )"
376,"('HANNOVER                                          ', )"
377,"('HANOI                                             ', )"
378,"('HARARE                                            ', )"
379,"('HARBIN                                            ', )"
380,"('HARTFORD                                          ', )"
381,"('HAVANA                                            ', )"
382,"('HEHOU (XIN HUI)', )"
383,"('HEFEI                                             ', )"
384,"('HELSINGBORG                                       ', )"
385,"('HELSINKI                                          ', )"
386,"('HENGYANG                                          ', )"
387,"('HERAKLEION                                        ', )"
388,"('HESHAN                                            ', )"
389,"('HIALEAH                                           ', )"
390,"('HIMEJI                                            ', )"
391,"('HIROSHIMA                                         ', )"
392,"('HITACHI                                           ', )"
393,"('HITACHINAKA                                       ', )"
394,"('HO CHI MINH (NEWPORT)', )"
395,"('HO CHI MINH CITY                                  ', )"
396,"('HOBART                                            ', )"
397,"('HODEIDAH                                          ', )"
398,"('HOHHOT                                            ', )"
399,"('HON GAI                                           ', )"
400,"('HONG KONG                                         ', )"
401,"('HONGKOU                                           ', )"
402,"('HONIARA                                           ', )"
403,"('HONOLULU                                          ', )"
404,"('HOSOSHIMA                                         ', )"
405,"('HOUSTON                                           ', )"
406,"('HUADU', )"
407,"('HUA SAI                                           ', )"
408,"('HUAINAN                                           ', )"
409,"('HUANG DAO                                         ', )"
410,"('HUANGSHAN', )"
411,"('HUANG SHI                                         ', )"
412,"('HUANGPU                                           ', )"
413,"('HUANGQI                                           ', )"
414,"('HUIZHOU                                           ', )"
415,"('HULL                                              ', )"
416,"('IJMUIDEN                                          ', )"
417,"('ILIGAN                                            ', )"
418,"('ILLICHIVSK                                        ', )"
419,"('ILO                                               ', )"
420,"('ILYICHEVSK                                        ', )"
421,"('IMABARI                                           ', )"
422,"('IMARI                                             ', )"
423,"('IMBITUBA                                          ', )"
424,"('IMMINGHAM                                         ', )"
425,"('INCHON                                            ', )"
426,"('INDIANAPOLIS                                      ', )"
427,"('INNSBRUCK                                         ', )"
428,"('INVERCARGILL                                      ', )"
429,"('IPOH                                              ', )"
430,"('IPSWICH                                           ', )"
431,"('IQUIQUE                                           ', )"
432,"('IRBID                                             ', )"
433,"('IRKUTSK                                           ', )"
434,"('IRUN                                              ', )"
435,"('ISHIGAKI                                          ', )"
436,"('ISHIKARI                                          ', )"
437,"('ISHINO MAKI                                       ', )"
438,"('ISKENDERUN                                        ', )"
439,"('ISTANBUL                                          ', )"
440,"('ITAJAI                                            ', )"
441,"('ITAQUI                                            ', )"
442,"('IWAKUNI                                           ', )"
443,"('IYOMISHIMA                                        ', )"
444,"('IZMIR                                             ', )"
445,"('JACKSONVILLE                                      ', )"
446,"('JAKARTA                                           ', )"
447,"('JAWAHARlAL NEHRU', )"
448,"('JEBEL ALI                                         ', )"
449,"('JEBEL ALI FREEZONE                                ', )"
450,"('JEDDAH                                            ', )"
451,"('JELENIA GORA                                      ', )"
452,"('JIAXING', )"
453,"('JIAZI (LU FENG)', )"
454,"('JIADING                                           ', )"
455,"('JIAMUSI                                           ', )"
456,"('JIANGMEN', )"
457,"('JIANGYIN', )"
458,"('JIANKOU                                           ', )"
459,"('JIAOJIANG', )"
460,"('JIAOKOU', )"
461,"('JIAOXIN', )"
462,"('JIEYANG', )"
463,"('JINAN                                             ', )"
464,"('JINGAN', )"
465,"('JINGJIANG', )"
466,"('JINGHUA                                           ', )"
467,"('JINSHAN                                           ', )"
468,"('JINZHOU                                           ', )"
469,"('JIUJIANG (NANHAI)', )"
470,"('JIUZHOU                                           ', )"
471,"('JOHANNESBURG                                      ', )"
472,"('JOHOR                                             ', )"
473,"('KABUL                                             ', )"
474,"('KACHKANAR                                         ', )"
475,"('KADUNA                                            ', )"
476,"('KAGOSHIMA                                         ', )"
477,"('KAIFENG                                           ', )"
478,"('KAIPING                                           ', )"
479,"('KAKOGAWA                                          ', )"
480,"('KALININGRAD                                       ', )"
481,"('KALUGA                                            ', )"
482,"('KAM PONG SOM                                      ', )"
483,"('KAMCHATKA                                         ', )"
484,"('KAMPALA                                           ', )"
485,"('KANAZAWA                                          ', )"
486,"('KANDAHAR                                          ', )"
487,"('KANDLA                                            ', )"
488,"('KANSAS CITY                                       ', )"
489,"('KAOHSIUNG                                         ', )"
490,"('KARACHI                                           ', )"
491,"('KARAGANDA                                         ', )"
492,"('KASHIMA                                           ', )"
493,"('KASSEL                                            ', )"
494,"('KATHMANDU                                         ', )"
495,"('KATOWICE                                          ', )"
496,"('KAVIENG                                           ', )"
497,"('KAWASAKI                                          ', )"
498,"('KAYES                                             ', )"
499,"('KAZAN                                             ', )"
500,"('KEELUNG                                           ', )"
501,"('KEMEROVO                                          ', )"
502,"('KHABAROVSK                                        ', )"
